task_id	process	hash	name	status	start	complete	duration	%cpu	cpus	memory
113	trimProcess	4b/b97c70	trimProcess (22)	COMPLETED	2025-09-10 15:58:02.072	2025-09-10 15:58:06.457	4.5s	100.4%	8	12 GB
116	fastqcRaw	0f/bfe76a	fastqcRaw (23)	COMPLETED	2025-09-10 15:58:02.739	2025-09-10 15:58:07.517	4.9s	153.0%	8	12 GB
115	trimProcess	69/b52935	trimProcess (23)	COMPLETED	2025-09-10 15:58:06.557	2025-09-10 15:58:10.415	4s	100.4%	8	12 GB
118	fastqcRaw	c4/c29601	fastqcRaw (24)	COMPLETED	2025-09-10 15:58:07.617	2025-09-10 15:58:12.381	4.9s	151.7%	8	12 GB
117	trimProcess	d8/b94760	trimProcess (24)	COMPLETED	2025-09-10 15:58:10.515	2025-09-10 15:58:14.211	3.8s	100.3%	8	12 GB
120	fastqcRaw	86/84cffc	fastqcRaw (25)	COMPLETED	2025-09-10 15:58:12.481	2025-09-10 15:58:17.244	4.9s	154.3%	8	12 GB
119	trimProcess	db/299a6e	trimProcess (25)	COMPLETED	2025-09-10 15:58:14.311	2025-09-10 15:58:18.979	4.8s	100.4%	8	12 GB
122	trimProcess	26/1d0d36	trimProcess (26)	COMPLETED	2025-09-10 15:58:17.345	2025-09-10 15:58:21.093	3.8s	100.5%	8	12 GB
121	fastqcRaw	64/e5203f	fastqcRaw (26)	COMPLETED	2025-09-10 15:58:19.079	2025-09-10 15:58:23.853	4.9s	152.3%	8	12 GB
124	fastqcRaw	c3/1bbbd5	fastqcRaw (27)	COMPLETED	2025-09-10 15:58:21.193	2025-09-10 15:58:25.990	4.9s	145.5%	8	12 GB
123	trimProcess	44/f2015a	trimProcess (27)	COMPLETED	2025-09-10 15:58:23.953	2025-09-10 15:58:27.533	3.7s	100.5%	8	12 GB
125	fastqcRaw	bc/4becf7	fastqcRaw (28)	COMPLETED	2025-09-10 15:58:26.090	2025-09-10 15:58:30.857	4.9s	152.3%	8	12 GB
126	trimProcess	e7/3d9b50	trimProcess (28)	COMPLETED	2025-09-10 15:58:27.633	2025-09-10 15:58:33.134	5.6s	100.6%	8	12 GB
127	trimProcess	d6/ea7ed7	trimProcess (29)	COMPLETED	2025-09-10 15:58:30.958	2025-09-10 15:58:35.127	4.3s	100.5%	8	12 GB
128	fastqcRaw	9d/14ef50	fastqcRaw (29)	COMPLETED	2025-09-10 15:58:33.234	2025-09-10 15:58:38.008	4.9s	150.3%	8	12 GB
130	trimProcess	e4/c1f699	trimProcess (30)	COMPLETED	2025-09-10 15:58:35.227	2025-09-10 15:58:39.746	4.6s	100.4%	8	12 GB
129	fastqcRaw	05/ad9202	fastqcRaw (30)	COMPLETED	2025-09-10 15:58:38.108	2025-09-10 15:58:42.887	4.9s	152.7%	8	12 GB
131	fastqcRaw	6b/5ace03	fastqcRaw (31)	COMPLETED	2025-09-10 15:58:39.846	2025-09-10 15:58:44.651	4.9s	149.5%	8	12 GB
132	trimProcess	50/eb94bf	trimProcess (31)	COMPLETED	2025-09-10 15:58:42.987	2025-09-10 15:58:47.186	4.3s	100.5%	8	12 GB
134	fastqcRaw	a4/0f3acf	fastqcRaw (32)	COMPLETED	2025-09-10 15:58:44.750	2025-09-10 15:58:49.513	4.9s	150.6%	8	12 GB
133	trimProcess	cb/80894b	trimProcess (32)	COMPLETED	2025-09-10 15:58:47.287	2025-09-10 15:58:51.728	4.5s	100.4%	8	12 GB
136	trimProcess	d4/2bae17	trimProcess (33)	COMPLETED	2025-09-10 15:58:49.613	2025-09-10 15:58:53.131	3.6s	100.4%	8	12 GB
135	fastqcRaw	8f/74d90e	fastqcRaw (33)	COMPLETED	2025-09-10 15:58:51.828	2025-09-10 15:58:56.591	4.9s	149.2%	8	12 GB
138	fastqcRaw	e1/3b3d72	fastqcRaw (34)	COMPLETED	2025-09-10 15:58:53.231	2025-09-10 15:58:58.041	4.9s	149.5%	8	12 GB
